,Drop Off Location,Stake,Route Information,Time Spent,Total Adult Volunteers,Total Youth Volunteers,Number of Doors,Number of Donation Bags,Number of Routes,Ward,Year,Latitude,Longitude
369,Gateway Stake Centre ,Gateway Stake,Route 52,15,1.0,1.0,125.0,12.5,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
370,Gateway Stake Centre ,Gateway Stake,Route 19,75,2.0,3.0,140.0,24.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
371,Gateway Stake Centre ,Gateway Stake,Route 23,75,2.0,3.0,140.0,24.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
372,Gateway Stake Centre ,Gateway Stake,Route 69,15,4.0,1.0,135.5,13.5,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
373,Gateway Stake Centre ,Gateway Stake,Route 71,15,4.0,1.0,135.5,13.5,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
374,Riverbend Stake Centre,Riverbend Stake,Route 103,15,2.0,2.0,121.0,13.0,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
375,Riverbend Stake Centre,Riverbend Stake,Route 201,15,2.0,2.0,121.0,13.0,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
376,Gateway Stake Centre ,Gateway Stake,Route 4,15,2.0,4.0,99.0,16.5,1.0,Ellerslie Ward,2024,53.428545,-113.457731
377,Gateway Stake Centre ,Gateway Stake,Route 11,15,2.0,4.0,99.0,16.5,1.0,Ellerslie Ward,2024,53.428545,-113.457731
378,Riverbend Stake Centre,Riverbend Stake,Route 3,45,2.0,0.0,100.0,35.0,1.0,Terwillegar Park Ward,2024,53.4662,-113.5835
379,Riverbend Stake Centre,Riverbend Stake,Route 4,45,2.0,0.0,100.0,35.0,1.0,Terwillegar Park Ward,2024,53.4662,-113.5835
380,Londonberry Chapel,Bonnie Doon Stake,Route 29,15,2.0,3.0,8.0,8.0,1.0,Londonderry Ward,2024,53.5894,-113.4591
381,Londonberry Chapel,Bonnie Doon Stake,Route 34,15,2.0,3.0,8.0,8.0,1.0,Londonderry Ward,2024,53.5894,-113.4591
382,Gateway Stake Centre ,Gateway Stake,Route 13,45,2.0,2.0,60.0,20.0,1.0,Rio Vista Ward,2024,53.4344,-113.5733
383,Gateway Stake Centre ,Gateway Stake,Route 17,45,2.0,2.0,60.0,20.0,1.0,Rio Vista Ward,2024,53.4344,-113.5733
384,Bearspaw Chapel,Gateway Stake,Route 2,15,2.0,3.0,109.5,14.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
385,Bearspaw Chapel,Gateway Stake,Route 6,15,2.0,3.0,109.5,14.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
386,Gateway Stake Centre ,Gateway Stake,Route 43,45,6.0,4.0,125.0,15.0,1.0,Silver Berry Ward,2024,53.461159,-113.381406
387,Gateway Stake Centre ,Gateway Stake,Route 52,15,6.0,4.0,125.0,15.0,1.0,Silver Berry Ward,2024,53.461159,-113.381406
388,Edmonton North Stake Centre,Edmonton North Stake,Route 1A,15,4.0,0.0,250.0,250.0,1.0,Griesbach Ward,2024,53.606808,-113.504229
389,Edmonton North Stake Centre,Edmonton North Stake,Route 1B,15,4.0,0.0,250.0,250.0,1.0,Griesbach Ward,2024,53.606808,-113.504229
390,Gateway Stake Centre ,Gateway Stake,Route 42,15,3.0,2.0,61.5,19.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
391,Gateway Stake Centre ,Gateway Stake,Route 27,15,3.0,2.0,61.5,19.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
392,Bearspaw Chapel,Gateway Stake,Route 12,45,2.0,4.0,100.0,10.0,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
393,Bearspaw Chapel,Gateway Stake,Route 7,45,2.0,4.0,100.0,10.0,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
395,Gateway Stake Centre ,Gateway Stake,Route 16,45,2.0,0.0,239.0,15.0,1.0,Silver Berry Ward,2024,53.461159,-113.381406
396,Gateway Stake Centre ,Gateway Stake,Route 17,45,2.0,0.0,239.0,15.0,1.0,Silver Berry Ward,2024,53.461159,-113.381406
398,Gateway Stake Centre ,Gateway Stake,Route 47,15,1.0,2.0,50.0,25.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
399,Gateway Stake Centre ,Gateway Stake,Route 38,15,1.0,2.0,50.0,25.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
400,Riverbend Stake Centre,Riverbend Stake,Route 24,15,3.0,2.0,102.0,13.0,1.0,Rutherford Ward,2024,53.416765,-113.529788
401,Riverbend Stake Centre,Riverbend Stake,Route 26,15,3.0,2.0,102.0,13.0,1.0,Rutherford Ward,2024,53.416765,-113.529788
402,Riverbend Stake Centre,Riverbend Stake,Route 3,15,2.0,0.0,47.5,7.5,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
403,Riverbend Stake Centre,Riverbend Stake,Route 1,15,2.0,0.0,47.5,7.5,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
404,Gateway Stake Centre ,Gateway Stake,Route 63,45,2.0,2.0,132.5,15.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
405,Gateway Stake Centre ,Gateway Stake,Route 64,45,2.0,2.0,132.5,15.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
406,Riverbend Stake Centre,Riverbend Stake,Route 1,45,1.0,1.0,175.0,23.5,1.0,Terwillegar Park Ward,2024,53.4662,-113.5835
407,Riverbend Stake Centre,Riverbend Stake,Route 2,45,1.0,1.0,175.0,23.5,1.0,Terwillegar Park Ward,2024,53.4662,-113.5835
408,Edmonton North Stake Centre,Edmonton North Stake,Route A,15,1.0,2.0,325.0,24.0,1.0,Griesbach Ward,2024,53.606808,-113.504229
409,Edmonton North Stake Centre,Edmonton North Stake,Route B ,15,1.0,2.0,325.0,24.0,1.0,Griesbach Ward,2024,53.606808,-113.504229
410,Bearspaw Chapel,Gateway Stake,Route Unknown,75,2.0,4.0,95.0,10.0,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
411,Bearspaw Chapel,Gateway Stake,Route 10,15,3.0,0.0,50.0,13.5,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
412,Bearspaw Chapel,Gateway Stake,Route 11,15,3.0,0.0,50.0,13.5,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
413,Gateway Stake Centre ,Gateway Stake,Route 37,15,2.0,0.0,123.0,15.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
414,Gateway Stake Centre ,Gateway Stake,Route 2,15,2.0,0.0,123.0,15.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
415,Edmonton North Stake Centre,Edmonton North Stake,Route A,15,4.0,0.0,150.5,9.5,1.0,Griesbach Ward,2024,53.606808,-113.504229
416,Edmonton North Stake Centre,Edmonton North Stake,Route B,15,4.0,0.0,150.5,9.5,1.0,Griesbach Ward,2024,53.606808,-113.504229
417,Riverbend Stake Centre,Riverbend Stake,Route 32,45,4.0,3.0,72.5,10.5,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
418,Riverbend Stake Centre,Riverbend Stake,Route 33,45,4.0,3.0,72.5,10.5,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
419,Gateway Stake Centre ,Gateway Stake,Route 32,15,2.0,2.0,100.0,15.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
420,Bearspaw Chapel,Gateway Stake,Route 68,45,1.0,2.0,73.5,18.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
421,Bearspaw Chapel,Gateway Stake,Route 69,45,1.0,2.0,73.5,18.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
422,Riverbend Stake Centre,Riverbend Stake,Route 5,45,5.0,0.0,163.0,26.5,1.0,Terwillegar Park Ward,2024,53.4662,-113.5835
423,Riverbend Stake Centre,Riverbend Stake,Route 6,45,5.0,0.0,163.0,26.5,1.0,Terwillegar Park Ward,2024,53.4662,-113.5835
424,Gateway Stake Centre ,Gateway Stake,Route Unknown,75,2.0,6.0,150.0,25.0,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
425,Riverbend Stake Centre,Riverbend Stake,Route 46,45,3.0,0.0,175.0,22.5,1.0,Rutherford Ward,2024,53.416765,-113.529788
426,Riverbend Stake Centre,Riverbend Stake,Route 53,45,3.0,0.0,175.0,22.5,1.0,Rutherford Ward,2024,53.416765,-113.529788
427,Gateway Stake Centre ,Gateway Stake,Route 39,45,2.0,1.0,88.0,10.0,1.0,Ellerslie Ward,2024,53.428545,-113.457731
428,Gateway Stake Centre ,Gateway Stake,Route 53,45,2.0,1.0,88.0,10.0,1.0,Ellerslie Ward,2024,53.428545,-113.457731
429,Riverbend Stake Centre,Riverbend Stake,Route 18,45,3.0,1.0,177.0,29.5,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
430,Riverbend Stake Centre,Riverbend Stake,Route 19,45,3.0,1.0,177.0,29.5,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
431,Riverbend Stake Centre,Riverbend Stake,Route 1,15,1.0,5.0,33.0,6.0,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
432,Riverbend Stake Centre,Riverbend Stake,Route 2,15,1.0,5.0,33.0,6.0,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
433,Gateway Stake Centre ,Gateway Stake,Route 5,45,1.0,1.0,50.0,15.0,1.0,Ellerslie Ward,2024,53.428545,-113.457731
434,Gateway Stake Centre ,Gateway Stake,Route 8,45,1.0,1.0,50.0,15.0,1.0,Ellerslie Ward,2024,53.428545,-113.457731
436,Gateway Stake Centre ,Gateway Stake,Route 32,15,2.0,2.0,102.5,5.0,1.0,Ellerslie Ward,2024,53.428545,-113.457731
437,Gateway Stake Centre ,Gateway Stake,Route 33,15,2.0,2.0,102.5,5.0,1.0,Ellerslie Ward,2024,53.428545,-113.457731
438,Riverbend Stake Centre,Riverbend Stake,Route 175,45,2.0,0.0,87.5,12.5,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
439,Riverbend Stake Centre,Riverbend Stake,Route 176,45,2.0,0.0,87.5,12.5,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
440,Gateway Stake Centre ,Gateway Stake,Route 1,15,2.0,4.0,122.5,12.5,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
441,Gateway Stake Centre ,Gateway Stake,Route 4,15,2.0,4.0,122.5,12.5,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
442,Gateway Stake Centre ,Gateway Stake,Route 28,15,2.0,3.0,115.0,21.0,1.0,Ellerslie Ward,2024,53.428545,-113.457731
443,Gateway Stake Centre ,Gateway Stake,Route 28A,15,2.0,3.0,115.0,21.0,1.0,Ellerslie Ward,2024,53.428545,-113.457731
444,Gateway Stake Centre ,Gateway Stake,Route 3,45,1.0,1.0,156.0,75.0,1.0,Rio Vista Ward,2024,53.4344,-113.5733
445,Gateway Stake Centre ,Gateway Stake,Route 5,45,1.0,1.0,156.0,75.0,1.0,Rio Vista Ward,2024,53.4344,-113.5733
446,Riverbend Stake Centre,Riverbend Stake,Route 9 ,75,4.0,2.0,214.0,37.5,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
447,Riverbend Stake Centre,Riverbend Stake,Route 10,75,4.0,2.0,214.0,37.5,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
448,Gateway Stake Centre ,Gateway Stake,Route 16,15,1.0,5.0,119.5,16.0,1.0,Ellerslie Ward,2024,53.428545,-113.457731
449,Gateway Stake Centre ,Gateway Stake,Route 25,15,1.0,5.0,119.5,16.0,1.0,Ellerslie Ward,2024,53.428545,-113.457731
450,Edmonton North Stake Centre,Edmonton North Stake,Route 2,15,3.0,0.0,150.0,12.0,1.0,Griesbach Ward,2024,53.606808,-113.504229
451,Edmonton North Stake Centre,Edmonton North Stake,Route 3,15,3.0,0.0,150.0,12.0,1.0,Griesbach Ward,2024,53.606808,-113.504229
452,Riverbend Stake Centre,Riverbend Stake,Route 8,75,1.0,3.0,300.0,59.0,1.0,Woodbend Ward,2024,53.4747,-113.6399
453,Riverbend Stake Centre,Riverbend Stake,Route 11,75,1.0,3.0,300.0,59.0,1.0,Woodbend Ward,2024,53.4747,-113.6399
454,Gateway Stake Centre ,Gateway Stake,Route 74,15,2.0,0.0,135.0,25.0,1.0,Rio Vista Ward,2024,53.4344,-113.5733
455,Gateway Stake Centre ,Gateway Stake,Route 194,15,2.0,0.0,135.0,25.0,1.0,Rio Vista Ward,2024,53.4344,-113.5733
456,Riverbend Stake Centre,Riverbend Stake,Route Unknown,15,5.0,0.0,163.0,26.5,1.0,Terwillegar Park Ward,2024,53.4662,-113.5835
457,Edmonton North Stake Centre,Edmonton North Stake,Route Unknown,15,2.0,2.0,35.0,3.5,1.0,Namao Ward,2024,53.7242,-113.4799
458,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 1,15,2.0,3.0,120.5,11.5,1.0,Connors Hill Ward,2024,53.5302,-113.4683
459,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 5,15,2.0,3.0,120.5,11.5,1.0,Connors Hill Ward,2024,53.5302,-113.4683
460,Gateway Stake Centre ,Gateway Stake,Route 17,15,2.0,1.0,250.0,31.0,1.0,Ellerslie Ward,2024,53.428545,-113.457731
461,Gateway Stake Centre ,Gateway Stake,Route 46,15,2.0,1.0,250.0,31.0,1.0,Ellerslie Ward,2024,53.428545,-113.457731
462,Riverbend Stake Centre,Riverbend Stake,Route 17,75,2.0,4.0,156.0,30.0,1.0,Terwillegar Park Ward,2024,53.4662,-113.5835
464,Bearspaw Chapel,Gateway Stake,Route 28,45,3.0,4.0,188.5,35.5,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
465,Bearspaw Chapel,Gateway Stake,Route 29,45,3.0,4.0,188.5,35.5,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
466,Riverbend Stake Centre,Riverbend Stake,Route 22,45,2.0,2.0,180.0,15.0,1.0,Rutherford Ward,2024,53.416765,-113.529788
467,Riverbend Stake Centre,Riverbend Stake,Route 12,45,2.0,2.0,180.0,15.0,1.0,Rutherford Ward,2024,53.416765,-113.529788
468,Riverbend Stake Centre,Riverbend Stake,Route 26,45,2.0,3.0,150.0,20.0,1.0,Terwillegar Park Ward,2024,53.4662,-113.5835
469,Riverbend Stake Centre,Riverbend Stake,Route 27,45,2.0,3.0,150.0,20.0,1.0,Terwillegar Park Ward,2024,53.4662,-113.5835
470,Riverbend Stake Centre,Riverbend Stake,Route 25,45,4.0,2.0,144.5,27.5,1.0,Rutherford Ward,2024,53.416765,-113.529788
471,Riverbend Stake Centre,Riverbend Stake,Route 28,45,4.0,2.0,144.5,27.5,1.0,Rutherford Ward,2024,53.416765,-113.529788
472,Gateway Stake Centre ,Gateway Stake,Route 34,45,2.0,2.0,128.5,15.5,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
473,Gateway Stake Centre ,Gateway Stake,Route 35,45,2.0,2.0,128.5,15.5,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
474,Riverbend Stake Centre,Riverbend Stake,Route 54,75,1.0,2.0,91.0,21.5,1.0,Terwillegar Park Ward,2024,53.4662,-113.5835
475,Riverbend Stake Centre,Riverbend Stake,Route 53,75,1.0,2.0,91.0,21.5,1.0,Terwillegar Park Ward,2024,53.4662,-113.5835
476,Gateway Stake Centre ,Gateway Stake,Route 40,15,2.0,1.0,80.0,14.5,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
477,Gateway Stake Centre ,Gateway Stake,Route 42,15,2.0,1.0,80.0,14.5,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
479,Riverbend Stake Centre,Riverbend Stake,Route 72 ,75,1.0,5.0,66.0,11.0,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
480,Riverbend Stake Centre,Riverbend Stake,Route 73,75,1.0,5.0,66.0,11.0,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
481,Riverbend Stake Centre,Riverbend Stake,Route 19 ,75,2.0,3.0,175.0,24.5,1.0,Terwillegar Park Ward,2024,53.4662,-113.5835
482,Riverbend Stake Centre,Riverbend Stake,Route 21,75,2.0,3.0,175.0,24.5,1.0,Terwillegar Park Ward,2024,53.4662,-113.5835
483,Gateway Stake Centre ,Gateway Stake,Route 66,45,1.0,0.0,130.0,100.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
484,Gateway Stake Centre ,Gateway Stake,Route 67,45,1.0,0.0,130.0,100.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
485,Edmonton North Stake Centre,Edmonton North Stake,Route D,45,3.0,1.0,156.5,22.5,1.0,Griesbach Ward,2024,53.606808,-113.504229
486,Edmonton North Stake Centre,Edmonton North Stake,Route E,45,3.0,1.0,156.5,22.5,1.0,Griesbach Ward,2024,53.606808,-113.504229
487,Edmonton North Stake Centre,Edmonton North Stake,Route E,45,3.0,0.0,150.0,23.5,1.0,Griesbach Ward,2024,53.606808,-113.504229
488,Edmonton North Stake Centre,Edmonton North Stake,Route F,45,3.0,0.0,150.0,23.5,1.0,Griesbach Ward,2024,53.606808,-113.504229
489,Edmonton North Stake Centre,Edmonton North Stake,Route EF,15,1.0,4.0,100.0,20.0,1.0,Griesbach Ward,2024,53.606808,-113.504229
490,Edmonton North Stake Centre,Edmonton North Stake,Route F,15,1.0,4.0,100.0,20.0,1.0,Griesbach Ward,2024,53.606808,-113.504229
491,Wainwright,Gateway Stake,Route 7,75,2.0,0.0,49.5,5.5,1.0,Wainwright Branch Ward,2024,52.8346,-110.8532
492,Wainwright,Gateway Stake,Route 15,75,2.0,0.0,49.5,5.5,1.0,Wainwright Branch Ward,2024,52.8346,-110.8532
493,Wainwright,Gateway Stake,Route 15,75,2.0,0.0,76.5,6.5,1.0,Wainwright Branch Ward,2024,52.8346,-110.8532
494,Wainwright,Gateway Stake,Route 7,75,2.0,0.0,76.5,6.5,1.0,Wainwright Branch Ward,2024,52.8346,-110.8532
495,Gateway Stake Centre ,Gateway Stake,Route 30,15,3.0,0.0,113.3333333,10.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
496,Gateway Stake Centre ,Gateway Stake,Route 31,15,3.0,0.0,113.3333333,10.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
497,Gateway Stake Centre ,Gateway Stake,Route 29,15,3.0,0.0,113.3333333,10.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
498,Gateway Stake Centre ,Gateway Stake,Route 62,15,4.0,1.0,143.6666667,12.33333333,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
499,Gateway Stake Centre ,Gateway Stake,Route 48,15,4.0,1.0,143.6666667,12.33333333,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
500,Gateway Stake Centre ,Gateway Stake,Route 61,15,4.0,1.0,143.6666667,12.33333333,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
501,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 4,15,2.0,0.0,66.66666667,6.666666667,1.0,Connors Hill Ward,2024,53.5302,-113.4683
502,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 5,15,2.0,0.0,66.66666667,6.666666667,1.0,Connors Hill Ward,2024,53.5302,-113.4683
503,Bearspaw Chapel,Bonnie Doon Stake,Route Ld2,15,2.0,0.0,100.0,18.66666667,1.0,Southgate Ward,2024,53.4772,-113.5193
504,Bearspaw Chapel,Bonnie Doon Stake,Route Ld3,15,2.0,0.0,100.0,18.66666667,1.0,Southgate Ward,2024,53.4772,-113.5193
505,Bearspaw Chapel,Bonnie Doon Stake,Route 86,15,2.0,0.0,100.0,18.66666667,1.0,Southgate Ward,2024,53.4772,-113.5193
506,Riverbend Stake Centre,Riverbend Stake,Route Unknown,15,2.0,2.0,166.6666667,19.33333333,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
507,Gateway Stake Centre ,Gateway Stake,Route 10,75,3.0,8.0,133.3333333,13.66666667,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
508,Gateway Stake Centre ,Gateway Stake,Route 11,75,3.0,8.0,133.3333333,13.66666667,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
509,Gateway Stake Centre ,Gateway Stake,Route 15,75,3.0,8.0,133.3333333,13.66666667,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
510,Gateway Stake Centre ,Gateway Stake,Route 44,15,1.0,1.0,66.66666667,19.33333333,1.0,Ellerslie Ward,2024,53.428545,-113.457731
511,Gateway Stake Centre ,Gateway Stake,Route 43,15,1.0,1.0,66.66666667,19.33333333,1.0,Ellerslie Ward,2024,53.428545,-113.457731
512,Gateway Stake Centre ,Gateway Stake,Route 45,15,1.0,1.0,66.66666667,19.33333333,1.0,Ellerslie Ward,2024,53.428545,-113.457731
513,Londonberry Chapel,Bonnie Doon Stake,Route 138,75,2.0,0.0,16.33333333,24.33333333,1.0,Clareview Ward,2024,53.5954,-113.4153
514,Londonberry Chapel,Bonnie Doon Stake,Route 168,75,2.0,0.0,16.33333333,24.33333333,1.0,Clareview Ward,2024,53.5954,-113.4153
515,Londonberry Chapel,Bonnie Doon Stake,Route 131,75,2.0,0.0,16.33333333,24.33333333,1.0,Clareview Ward,2024,53.5954,-113.4153
516,Gateway Stake Centre ,Gateway Stake,Route 13,15,2.0,4.0,100.0,25.0,1.0,Ellerslie Ward,2024,53.428545,-113.457731
517,Gateway Stake Centre ,Gateway Stake,Route 21,15,2.0,4.0,100.0,25.0,1.0,Ellerslie Ward,2024,53.428545,-113.457731
518,Gateway Stake Centre ,Gateway Stake,Route 22,15,2.0,4.0,100.0,25.0,1.0,Ellerslie Ward,2024,53.428545,-113.457731
519,Bearspaw Chapel,Gateway Stake,Route 16,15,2.0,2.0,0.0,18.33333333,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
520,Bearspaw Chapel,Gateway Stake,Route 27,15,2.0,2.0,0.0,18.33333333,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
521,Bearspaw Chapel,Gateway Stake,Route 0,15,2.0,2.0,0.0,18.33333333,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
522,Gateway Stake Centre ,Gateway Stake,Route 6,75,2.0,0.0,133.3333333,16.66666667,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
523,Gateway Stake Centre ,Gateway Stake,Route 8,75,2.0,0.0,133.3333333,16.66666667,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
524,Gateway Stake Centre ,Gateway Stake,Route 9,75,2.0,0.0,133.3333333,16.66666667,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
525,Bearspaw Chapel,Gateway Stake,Route 1,15,2.0,2.0,136.6666667,15.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
526,Bearspaw Chapel,Gateway Stake,Route 20,15,2.0,2.0,136.6666667,15.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
527,Bearspaw Chapel,Gateway Stake,Route 23,15,2.0,2.0,136.6666667,15.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
528,Edmonton North Stake Centre,Edmonton North Stake,Route 1,15,3.0,0.0,266.6666667,22.0,1.0,Griesbach Ward,2024,53.606808,-113.504229
529,Riverbend Stake Centre,Riverbend Stake,Route 65,45,2.0,0.0,94.0,18.0,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
530,Riverbend Stake Centre,Riverbend Stake,Route 67,45,2.0,0.0,94.0,18.0,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
531,Riverbend Stake Centre,Riverbend Stake,Route 68,45,2.0,0.0,94.0,18.0,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
532,Gateway Stake Centre ,Gateway Stake,Route 13,45,3.0,4.0,62.66666667,9.0,1.0,Silver Berry Ward,2024,53.461159,-113.381406
533,Gateway Stake Centre ,Gateway Stake,Route 14,45,3.0,4.0,62.66666667,9.0,1.0,Silver Berry Ward,2024,53.461159,-113.381406
534,Gateway Stake Centre ,Gateway Stake,Route 15,45,3.0,4.0,62.66666667,9.0,1.0,Silver Berry Ward,2024,53.461159,-113.381406
535,Edmonton North Stake Centre,Edmonton North Stake,Route 2-3.1,75,2.0,2.0,133.3333333,41.0,1.0,Namao Ward,2024,53.7242,-113.4799
536,Edmonton North Stake Centre,Edmonton North Stake,Route 2-3.2,75,2.0,2.0,133.3333333,41.0,1.0,Namao Ward,2024,53.7242,-113.4799
537,Edmonton North Stake Centre,Edmonton North Stake,Route 2-1.2,75,2.0,2.0,133.3333333,41.0,1.0,Namao Ward,2024,53.7242,-113.4799
538,Riverbend Stake Centre,Riverbend Stake,Route 44,15,2.0,1.0,58.33333333,13.33333333,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
539,Riverbend Stake Centre,Riverbend Stake,Route 75,15,2.0,1.0,58.33333333,13.33333333,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
540,Riverbend Stake Centre,Riverbend Stake,Route 74A,15,2.0,1.0,58.33333333,13.33333333,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
541,Riverbend Stake Centre,Riverbend Stake,Route 60,75,2.0,1.0,60.33333333,87.66666667,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
542,Riverbend Stake Centre,Riverbend Stake,Route 62,75,2.0,1.0,60.33333333,87.66666667,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
543,Riverbend Stake Centre,Riverbend Stake,Route 108,75,2.0,1.0,60.33333333,87.66666667,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
544,Bearspaw Chapel,Gateway Stake,Route 11,15,4.0,4.0,3.666666667,5.333333333,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
545,Bearspaw Chapel,Gateway Stake,Route 41,15,4.0,4.0,3.666666667,5.333333333,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
546,Bearspaw Chapel,Gateway Stake,Route 12,15,4.0,4.0,3.666666667,5.333333333,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
547,Bearspaw Chapel,Gateway Stake,Route 41,15,4.0,4.0,52.66666667,8.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
548,Bearspaw Chapel,Gateway Stake,Route 12,15,4.0,4.0,52.66666667,8.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
549,Bearspaw Chapel,Gateway Stake,Route 158,15,4.0,4.0,52.66666667,8.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
550,Bearspaw Chapel,Gateway Stake,Route 12,15,4.0,4.0,51.0,8.333333333,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
551,Bearspaw Chapel,Gateway Stake,Route 11,15,4.0,4.0,51.0,8.333333333,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
552,Bearspaw Chapel,Gateway Stake,Route 41,15,4.0,4.0,51.0,8.333333333,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
553,Gateway Stake Centre ,Gateway Stake,Route 57,15,2.0,2.0,42.0,6.666666667,1.0,Rio Vista Ward,2024,53.4344,-113.5733
554,Gateway Stake Centre ,Gateway Stake,Route 76,15,2.0,2.0,42.0,6.666666667,1.0,Rio Vista Ward,2024,53.4344,-113.5733
555,Gateway Stake Centre ,Gateway Stake,Route 68,15,2.0,2.0,42.0,6.666666667,1.0,Rio Vista Ward,2024,53.4344,-113.5733
556,Gateway Stake Centre ,Gateway Stake,Route 14,45,3.0,4.0,68.66666667,10.66666667,1.0,Silver Berry Ward,2024,53.461159,-113.381406
557,Gateway Stake Centre ,Gateway Stake,Route 13,45,3.0,4.0,68.66666667,10.66666667,1.0,Silver Berry Ward,2024,53.461159,-113.381406
