,Drop Off Location,Stake,Route Information,Time Spent,Total Adult Volunteers,Total Youth Volunteers,Number of Doors,Number of Donation Bags,Number of Routes,Ward,Year,Latitude,Longitude
55,Edmonton North Stake Centre,Edmonton North Stake,Route 4-1.1 ,75,2.0,0.0,170.0,32.0,1.0,Namao Ward,2024,53.7242,-113.4799
56,Edmonton North Stake Centre,Edmonton North Stake,Route 3C,45,1.0,2.0,60.0,20.0,1.0,Griesbach Ward,2024,53.606808,-113.504229
57,Bearspaw Chapel,Gateway Stake,Route 63,45,1.0,2.0,140.0,12.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
58,Bearspaw Chapel,Gateway Stake,Route 36,45,2.0,3.0,134.0,55.0,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
59,Gateway Stake Centre ,Gateway Stake,Route 73,15,1.0,4.0,128.0,7.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
60,Bearspaw Chapel,Gateway Stake,Route 8,45,1.0,1.0,156.0,50.0,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
61,Riverbend Stake Centre,Riverbend Stake,Route 21,15,2.0,2.0,100.0,12.0,1.0,Woodbend Ward,2024,53.4747,-113.6399
62,Londonberry Chapel,Bonnie Doon Stake,Route 134,15,2.0,0.0,125.0,20.0,1.0,Clareview Ward,2024,53.5954,-113.4153
63,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 1,75,3.0,0.0,195.0,40.0,1.0,Connors Hill Ward,2024,53.5302,-113.4683
64,Londonberry Chapel,Bonnie Doon Stake,Route 3,45,0.0,2.0,177.0,19.0,1.0,Londonderry Ward,2024,53.5894,-113.4591
65,Edmonton North Stake Centre,Bonnie Doon Stake,Route 4,75,1.0,1.0,200.0,30.0,1.0,Forest Heights Ward,2024,53.544537,-113.45125
66,Londonberry Chapel,Bonnie Doon Stake,Route 22,75,1.0,1.0,0.0,51.0,1.0,Londonderry Ward,2024,53.5894,-113.4591
67,Bearspaw Chapel,Gateway Stake,Route 6,15,1.0,0.0,4.0,1.0,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
68,Gateway Stake Centre ,Gateway Stake,Route 74,45,2.0,0.0,140.0,21.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
69,Riverbend Stake Centre,Riverbend Stake,Route Unknown,45,2.0,2.0,100.0,40.0,1.0,Greenfield Ward,2024,53.471073,-113.527505
70,Edmonton North Stake Centre,Edmonton North Stake,Route Unknown,15,2.0,0.0,80.0,6.0,1.0,Griesbach Ward,2024,53.606808,-113.504229
71,Gateway Stake Centre ,Gateway Stake,Route 41,15,3.0,0.0,100.0,20.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
72,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 47,15,2.0,2.0,150.0,18.0,1.0,Forest Heights Ward,2024,53.544537,-113.45125
73,Riverbend Stake Centre,Riverbend Stake,Route AG1,45,2.0,2.0,140.0,50.0,1.0,Greenfield Ward,2024,53.471073,-113.527505
74,Riverbend Stake Centre,Riverbend Stake,Route 5,15,1.0,2.0,125.0,28.0,1.0,Woodbend Ward,2024,53.4747,-113.6399
75,Bearspaw Chapel,Gateway Stake,Route 56,45,2.0,3.0,130.0,35.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
76,Gateway Stake Centre ,Gateway Stake,Route 86,75,2.0,0.0,130.0,16.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
77,Gateway Stake Centre ,Gateway Stake,Route 66,15,1.0,0.0,1.0,2.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
78,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 4,75,2.0,2.0,200.0,23.0,1.0,Forest Heights Ward,2024,53.544537,-113.45125
79,Edmonton North Stake Centre,Edmonton North Stake,Route Unknown,45,2.0,0.0,166.0,20.0,1.0,Griesbach Ward,2024,53.606808,-113.504229
80,Gateway Stake Centre ,Gateway Stake,Route 23,45,2.0,2.0,210.0,20.0,1.0,Ellerslie Ward,2024,53.428545,-113.457731
81,Bearspaw Chapel,Riverbend Stake,Route 19,45,2.0,2.0,205.0,21.0,1.0,Rutherford Ward,2024,53.416765,-113.529788
82,Londonberry Chapel,Bonnie Doon Stake,Route 197,45,2.0,0.0,0.0,4.5,1.0,Clareview Ward,2024,53.5954,-113.4153
83,Londonberry Chapel,Bonnie Doon Stake,Route 210,45,2.0,0.0,0.0,4.5,1.0,Clareview Ward,2024,53.5954,-113.4153
84,Gateway Stake Centre ,Gateway Stake,Route 36,45,4.0,2.0,173.0,17.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
85,Bearspaw Chapel,Bonnie Doon Stake,Route 6,45,2.0,0.0,150.0,40.0,1.0,Southgate Ward,2024,53.4772,-113.5193
86,Bearspaw Chapel,Gateway Stake,Route 18,45,2.0,2.0,155.0,22.0,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
87,Gateway Stake Centre ,Gateway Stake,Route 24,45,2.0,2.0,200.0,35.0,1.0,Ellerslie Ward,2024,53.428545,-113.457731
88,Bearspaw Chapel,Gateway Stake,Route 46,45,2.0,0.0,154.0,28.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
89,Bearspaw Chapel,Bonnie Doon Stake,Route 125,45,2.0,0.0,128.0,12.0,1.0,Southgate Ward,2024,53.4772,-113.5193
90,Londonberry Chapel,Bonnie Doon Stake,Route 123,45,1.0,2.0,230.0,42.0,1.0,Clareview Ward,2024,53.5954,-113.4153
91,Gateway Stake Centre ,Gateway Stake,Route 12,45,2.0,0.0,131.0,20.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
92,Gateway Stake Centre ,Gateway Stake,Route 2,15,1.0,2.0,100.0,20.0,1.0,Ellerslie Ward,2024,53.428545,-113.457731
93,Riverbend Stake Centre,Riverbend Stake,Route Unknown,45,2.0,3.0,150.0,30.0,1.0,Terwillegar Park Ward,2024,53.4662,-113.5835
94,Edmonton North Stake Centre,Edmonton North Stake,Route 3-2.4b,15,2.0,0.0,1751.0,14.0,1.0,Namao Ward,2024,53.7242,-113.4799
95,Bearspaw Chapel,Gateway Stake,Route 63,75,1.0,3.0,169.0,20.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
96,Bearspaw Chapel,Gateway Stake,Route 15,75,2.0,2.0,153.0,35.0,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
97,Riverbend Stake Centre,Riverbend Stake,Route 9,75,2.0,0.0,150.0,20.0,1.0,Devon Ward,2024,,
98,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,45,2.0,0.0,151.0,18.0,1.0,Southgate Ward,2024,53.4772,-113.5193
99,Gateway Stake Centre ,Gateway Stake,Route 1,45,3.0,0.0,241.0,50.0,1.0,Silver Berry Ward,2024,53.461159,-113.381406
100,Riverbend Stake Centre,Riverbend Stake,Route Unknown,45,2.0,0.0,187.0,45.0,1.0,Rutherford Ward,2024,53.416765,-113.529788
101,Edmonton North Stake Centre,Edmonton North Stake,Route Unknown,15,2.0,2.0,180.0,15.0,1.0,Griesbach Ward,2024,53.606808,-113.504229
102,Londonberry Chapel,Bonnie Doon Stake,Route 162,15,1.0,1.0,300.0,54.0,1.0,Clareview Ward,2024,53.5954,-113.4153
103,Londonberry Chapel,Bonnie Doon Stake,Route 170,15,1.0,1.0,150.0,27.0,1.0,Clareview Ward,2024,53.5954,-113.4153
104,Bearspaw Chapel,Gateway Stake,Route 17,45,2.0,2.0,100.0,25.0,1.0,Wild Rose Ward,2024,53.470564,-113.381167
105,Gateway Stake Centre ,Gateway Stake,Route 37,75,3.0,1.0,230.0,21.0,1.0,Silver Berry Ward,2024,53.461159,-113.381406
106,Edmonton North Stake Centre,Edmonton North Stake,Route 2-1.1,45,5.0,4.0,286.0,29.0,1.0,Namao Ward,2024,53.7242,-113.4799
107,Londonberry Chapel,Bonnie Doon Stake,Route Unknown,45,1.0,4.0,29.0,29.0,1.0,Londonderry Ward,2024,53.5894,-113.4591
108,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 2,45,2.0,3.0,90.0,12.0,1.0,Connors Hill Ward,2024,53.5302,-113.4683
109,Londonberry Chapel,Bonnie Doon Stake,Route 17,45,2.0,0.0,0.0,20.0,1.0,Londonderry Ward,2024,53.5894,-113.4591
110,Bearspaw Chapel,Gateway Stake,Route 23,15,1.0,3.0,155.0,22.0,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
111,Londonberry Chapel,Bonnie Doon Stake,Route 15,45,2.0,0.0,15.0,15.0,1.0,Londonderry Ward,2024,53.5894,-113.4591
112,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 7,45,2.0,0.0,75.0,15.0,1.0,Forest Heights Ward,2024,53.544537,-113.45125
113,Gateway Stake Centre ,Gateway Stake,Route 6,75,2.0,2.0,168.0,16.0,1.0,Silver Berry Ward,2024,53.461159,-113.381406
114,Gateway Stake Centre ,Gateway Stake,Route 26,45,2.0,2.0,25.0,250.0,1.0,Ellerslie Ward,2024,53.428545,-113.457731
115,Riverbend Stake Centre,Riverbend Stake,Route 51,45,2.0,0.0,97.0,15.0,1.0,Rutherford Ward,2024,53.416765,-113.529788
116,Bearspaw Chapel,Gateway Stake,Route 2,45,2.0,2.0,130.0,20.0,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
117,Londonberry Chapel,Bonnie Doon Stake,Route 110,45,6.0,0.0,190.0,26.0,1.0,Clareview Ward,2024,53.5954,-113.4153
118,Londonberry Chapel,Bonnie Doon Stake,Route 54,45,1.0,0.0,20.0,24.0,1.0,Londonderry Ward,2024,53.5894,-113.4591
119,Edmonton North Stake Centre,Edmonton North Stake,Route Unknown,75,2.0,0.0,150.0,33.0,1.0,Griesbach Ward,2024,53.606808,-113.504229
120,Londonberry Chapel,Bonnie Doon Stake,Route 141,15,1.0,1.0,0.0,18.0,1.0,Clareview Ward,2024,53.5954,-113.4153
121,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 4,45,2.0,3.0,250.0,39.0,1.0,Forest Heights Ward,2024,53.544537,-113.45125
122,Edmonton North Stake Centre,Edmonton North Stake,Route 3-1.2.b,45,2.0,0.0,152.0,23.0,1.0,Namao Ward,2024,53.7242,-113.4799
123,Bearspaw Chapel,Gateway Stake,Route 1,90,2.0,0.0,200.0,25.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
124,Gateway Stake Centre ,Gateway Stake,Route 25,75,2.0,1.0,174.0,230.0,1.0,Silver Berry Ward,2024,53.461159,-113.381406
125,Bearspaw Chapel,Gateway Stake,Route 36,15,2.0,2.0,177.0,22.0,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
126,Riverbend Stake Centre,Riverbend Stake,Route 4,45,2.0,2.0,210.0,24.0,1.0,Greenfield Ward,2024,53.471073,-113.527505
127,Riverbend Stake Centre,Riverbend Stake,Route 41,75,1.0,1.0,40.0,40.0,1.0,Terwillegar Park Ward,2024,53.4662,-113.5835
128,Londonberry Chapel,Bonnie Doon Stake,Route 47,45,1.0,0.0,200.0,22.0,1.0,Londonderry Ward,2024,53.5894,-113.4591
129,Gateway Stake Centre ,Gateway Stake,Route 49,45,2.0,4.0,125.0,33.0,1.0,Rio Vista Ward,2024,53.4344,-113.5733
130,Londonberry Chapel,Bonnie Doon Stake,Route 209,15,3.0,0.0,66.67,20.0,1.0,Clareview Ward,2024,53.5954,-113.4153
131,Londonberry Chapel,Bonnie Doon Stake,Route 200,15,3.0,0.0,66.67,7.0,1.0,Clareview Ward,2024,53.5954,-113.4153
132,Londonberry Chapel,Bonnie Doon Stake,Route 220,15,3.0,0.0,66.67,6.0,1.0,Clareview Ward,2024,53.5954,-113.4153
133,Londonberry Chapel,Bonnie Doon Stake,Route 31,15,2.0,0.0,96.0,7.0,1.0,Londonderry Ward,2024,53.5894,-113.4591
